Empresa;Div.Liq_menos_Luc.Liq;Dividendos;Luc.Operacional;PVP_menor5;Liq_sobre_Ebita_menor2;Ano_mercado_maior10;PL_menor10;Roe_maior15;Roa_maior10Roic_maior12;Tag_along100;Free_float50;Soma_total;Formula_Graham;Cotacao
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;0;0;1;1;0;1;;0;;1;0;5;0.0;4.49
FERTILIZANTES HERINGER;0;0;0;1;1;1;;0;;1;0;5;0.0;7.5
OSX BRASIL;0;0;1;1;0;0;;0;;1;1;5;0.0;7.38
INEPAR S.A. INDUSTRIA E CONSTRUÇÃO;0;0;0;1;1;1;;0;;0;0;5;0.0;4.95
CSU DIGITAL;1;1;1;1;1;0;;0;;1;0;9;20.33;15.76
ATMA S.A.;0;0;0;0;1;0;;0;;1;0;4;3.34;2.76
ALLIED;0;1;1;1;1;0;;0;;1;0;6;15.74;5.92
LOG-IN LOGÍSTICA INTERMODAL;0;0;1;1;0;1;;0;;1;0;6;26.48;39.7
GERDAU;1;1;1;1;1;1;;0;;1;1;11;58.41;21.04
ROSSI RESIDENCIAL;0;0;0;1;1;1;;0;;1;1;7;0.0;3.93
GRUPO JEREISSATI;0;0;1;1;0;1;;0;;0;1;5;4.16;2.78
BRADESPAR;1;1;1;1;1;0;;0;;0;1;9;55.17;20.38
PADTEC HOLDING S.A.;0;0;1;1;0;0;;0;;0;0;4;3.11;2.46
SANTANENSE;0;0;1;1;0;1;;0;;0;1;4;3.3;2.62
TERRA SANTA PROPRIEDADES AGRICOLAS S.A.;1;1;1;1;1;0;;0;;1;0;8;15.84;21.1
SANSUY S.A. INDUSTRIA DE PLÁSTICOS;0;0;1;1;0;1;;0;;0;1;5;0.0;3.89
TPI - TRIUNFO PARTICIP. E INVEST. S.A;0;0;1;1;1;0;;0;;1;0;5;0.0;4.34
ALPER;1;0;1;1;1;0;;0;;1;1;7;46.27;32.7
VESTE S/A;0;0;1;1;1;1;;0;;1;1;8;17.48;13.54
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;1;0;1;1;1;0;;0;;1;0;5;9.75;4.89
PARANAPANEMA;0;0;0;1;1;1;;0;;1;1;7;0.0;4.68
COELCE;0;0;1;1;0;1;;0;;0;0;4;85.46;42.7
TAURUS ARMAS;1;1;1;1;1;1;;0;;1;1;11;21.42;15.95
UNICASA;1;1;1;1;1;1;;0;;1;0;8;4.13;2.6
BANCO BANESTES;1;1;0;1;1;1;;0;;0;0;7;12.27;8.6
POMIFRUTAS;0;0;0;1;1;1;;0;;1;0;6;0.0;3.14
TRONOX PIGMENTOS DO BRASIL;1;1;1;1;1;1;;0;;0;1;10;50.19;44.5
RANDON;0;1;1;1;0;1;;0;;0;1;7;17.05;9.11
RNI NEGÓCIOS IMOBILIÁRIOS;0;1;1;1;0;1;;0;;1;0;6;0.0;4.64
ALUPAR INVESTIMENTO S/A;0;1;1;1;0;0;;0;;1;0;5;12.34;9.5
OURO FINO SAÚDE ANIMAL;0;0;1;1;1;0;;0;;1;0;4;9.42;21.59
BR PROPERTIES;0;0;0;1;1;0;;0;;1;0;4;0.0;229.84
BANCO BTG PACTUAL;1;0;1;1;1;1;;0;;0;0;7;8.17;8.49
JOÃO FORTES ENGENHARIA S.A.;0;0;0;1;1;1;;0;;0;0;5;0.0;2.4
SÃO CARLOS;0;0;1;1;0;1;;0;;1;0;4;17.49;23.99
NUTRIPLANT INDUSTRIA E COMERCIO S.A.;0;0;1;1;1;1;;0;;1;0;7;3.8;3.59
REFINARIA DE PETROLEOS MANGUINHOS;0;0;0;1;1;1;;0;;0;0;5;0.0;2.3
CIA ENERGÉTICA DE BRASILIA;1;1;1;1;1;1;;0;;0;0;9;28.59;13.79
COELBA;0;1;1;1;0;1;;0;;0;0;6;57.17;38.5
SARAIVA;1;0;1;1;1;1;;0;;1;1;9;0.0;3.21
