Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
MOVIDA PARTICIPACOES SA;10.48;11390000000.0;-7000000000.0;114730000.0;3510000000.0;33.44;1.09;13970000000.0;;12.01;1.0;10510000000.0;2090000000.0;3550000000.0;41220000.0;33.76;2.59;1.24;33.09;8.48;0.32
SANTOS BRASIL;7.87;-177530000.0;-1.06;373070000.0;861450000.0;44.75;19.38;297020000.0;;18.43;4.36;1.92;578820000.0;793430000.0;-122600000.0;41.22;5.03;3.12;18.23;2.52;0.43
POSITIVO;6.76;884850000.0;-2720000000.0;217260000.0;1.07;28.2;5.73;1.32;;18.2;3.95;3790000000.0;494300000.0;550860000.0;-1570.0;14.54;7.61;0.69;4.5;9.8;1.5
IRB BRASIL RESSEGUROS;42.41;-2940000000.0;-7430000000.0;-308870000.0;-665800000.0;-9.84;-4.56;1.02;;-26.21;-1.88;6770000000.0;-1.08;0.0;271110000.0;0.0;0.0;0.84;-11.3;50.3;-3.75
SÃO MARTINHO;37.56;6690000000.0;-3360000000.0;1.01;1.97;31.37;16.17;9060000000.0;;11.31;4.37;6270000000.0;1.94;3250000000.0;-230180000.0;51.8;4.38;2.19;13.11;17.17;2.87
IOCHPE MAXION;12.81;3740000000.0;-14850000000.0;78780000.0;1.43;8.78;0.48;6200000000.0;;7.17;0.5;16280000000.000002;823280000.0;1.28;-107150000.0;7.89;2.35;0.52;-68.52;24.63;-0.19
EZ TEC;16.87;-98260000.0;-747930000.0;264620000.0;337140000.0;31.07;24.39;683160000.0;;3.21;1.47;1.09;201400000.0;264700000.0;-32790000.0;24.39;1.64;0.81;14.65;20.71;1.15
ZAMP;6.09;734870000.0;-1.32;-111450000.0;2460000000.0;64.96;-2.95;1.16;;2.36;-1.94;3780000000.0;85030000.0;337700000.0;-25400000.0;8.93;0.0;1.23;-15.05;4.97;-0.4
KEPLER WEBER;10.83;-110680000.0;-1.07;313260000.0;556260000.0;34.29;19.31;155850000.0;;36.97;12.29;1.62;406490000.0;438320000.0;-101700000.0;27.02;10.48;2.91;6.21;3.72;1.74
GRUPO GPS;16.95;572150000.0;-8310000000.000001;572590000.0;1.74;17.33;5.7;3170000000.0;;13.5;5.38;10050000000.0;1.1;987820000.0;-288250000.0;9.83;1.53;4.05;19.95;4.18;0.85
