"Código","Nome","Volume","Última (R$)","Variação"
"WHRL4","Whirlpool","6.700","4,47","-0,89%"
"BOBR4","Bombril","6.500","1,68","+2,44%"
"UNIP3","Unipar","6.400","71,47","+0,35%"
"CGRA4","Grazziotin","6.300","25,90","-0,38%"
"RDNI3","RNI","6.200","4,81","-0,82%"
"ALUP3","Alupar","6.000","9,48","+1,83%"
"CRIV4","Alfa Financeira","6.000","6,38","+5,80%"
"HAGA4","Haga","6.000","1,24","+4,20%"
"EMAE4","EMAE","5.800","63,51","-1,95%"
"OFSA3","Ourofino Saúde Animal","5.600","20,99","-1,46%"
"BRPR3","BR Properties","5.500","165,01","-43,49%"
"BPAC3","Banco BTG Pactual","5.500","14,23","+2,52%"
"CEDO4","Cedro Têxtil","5.300","15,00","+0,00%"
"BPAC5","Banco BTG Pactual","4.900","8,25","+1,98%"
"CLSC4","Celesc","4.800","64,65","+0,54%"
"MTSA4","METISA","4.800","47,63","-0,87%"
"ENGI4","Energisa","4.700","7,55","+2,03%"
"JFEN3","João Fortes","4.600","2,51","+4,58%"
"SCAR3","São Carlos","4.200","24,05","-1,64%"
"BRSR3","Banrisul","4.000","12,35","+0,00%"
"NUTR3","Nutriplant","4.000","3,78","-1,05%"
"BEES4","Banestes","3.800","9,82","-0,30%"
"RPMG3","Refinaria de Manguinhos","3.700","2,31","+0,43%"
"CEBR6","CEB","3.600","15,26","+2,42%"
"RSUL4","Metalúrgica Riosulense","3.500","67,50","-0,74%"
"WLMM4","WLM","3.500","39,08","-0,43%"
"CEEB3","COELBA","3.300","39,00","+0,75%"
"TEKA4","Teka","3.000","12,29","-2,54%"
"SLED3","Saraiva","3.000","3,21","-0,31%"
"LVTC3","WDC Networks","2.800","4,01","+1,78%"
"TRPL3","Transmissão Paulista","2.600","30,13","-1,34%"
"CSRN3","COSERN","2.100","23,20","+0,04%"
"CEBR3","CEB","2.100","13,70","+0,37%"
"DOHL4","Döhler","2.100","5,65","+0,89%"
"CRPG6","Tronox Pigmentos","1.800","38,10","+0,24%"
"MGEL4","Mangels","1.800","14,89","-0,73%"
"TELB4","Telebras","1.800","12,00","+0,76%"
"BAZA3","Banco da Amazônia","1.700","90,00","+0,02%"
"EUCA3","Eucatex","1.600","13,70","+0,00%"
"ENGI3","Energisa","1.500","15,04","+1,01%"
"MNPR3","Minupar","1.500","14,58","-0,07%"
"REDE3","Rede Energia","1.400","5,71","-0,35%"
"WHRL3","Whirlpool","1.300","4,43","-0,23%"
"ALPA3","Alpargatas","1.200","7,99","-1,36%"
"CEBR5","CEB","1.000","13,70","-1,30%"
"EQPA3","Equatorial Energia Pará","1.000","6,35","+2,25%"
"HAGA3","Haga","1.000","2,62","+3,97%"
"BRGE8","Consórcio Alfa","900","10,51","+0,00%"
"SNSY3","Sansuy","900","5,85","-1,02%"
"NEXP3","Brasil Brokers","900","5,67","-1,05%"
"EPAR3","EPAR3","800","15,90","-2,99%"
"DEXP4","Dexxos","700","9,78","+3,16%"
"EALT3","Electro Aço Altona","700","7,90","-0,13%"
"ATOM3","ATOM","700","2,20","-0,45%"
"CTNM3","Coteminas","600","8,90","-3,26%"
"AFLT3","Afluente T","600","7,50","-3,72%"
"CGRA3","Grazziotin","500","24,90","+0,97%"
"BAHI3","Bahema","500","9,80","-1,90%"
"BGIP4","Banese","400","23,00","+2,77%"
"CPLE5","Copel","400","20,11","-0,05%"
"TELB3","Telebras","400","16,00","-0,62%"
"BRGE3","Consórcio Alfa","400","10,55","+0,86%"
"IGTI4","Iguatemi","400","8,53","+0,35%"
"IGTI4","Jereissati Participações","400","8,53","+0,35%"
"CGAS5","Comgás","300","128,52","-0,43%"
"EQMA3B","Equatorial Maranhão","300","27,99","+1,74%"
"BALM3","Baumer","300","10,15","-7,73%"
"CLSC3","Celesc","200","60,99","+0,00%"
"EKTR4","Elektro","200","37,05","-2,50%"
"GEPA3","Rio Paranapanema Energia","200","23,69","+0,13%"
"CEDO3","Cedro Têxtil","200","16,01","+0,06%"
"BMEB3","Banco Mercantil do Brasil","200","15,07","-4,98%"
"CBEE3","Ampla Energia","200","13,54","-1,17%"
"BIOM3","Biomm","200","4,53","+1,34%"
"SOND6","Sondotécnica","100","55,00","+10,00%"
"CEEB5","COELBA","100","54,59","-0,02%"
"GEPA4","Rio Paranapanema Energia","100","25,60","+0,39%"
"CALI3","Adolpho Lindenberg","100","14,20","+0,71%"
"BRIV3","Alfa Investimento","100","11,35","+0,44%"
"BRGE6","Consórcio Alfa","100","11,03","+0,00%"
"HETA4","Hercules","100","6,38","+5,11%"
"BMKS3","Monark","4","300,00","+0,01%"
"EQPA7","Equatorial Energia Pará","34.800","7,00","+0,00%"
"BALM4","Baumer","1.100","10,55","+1,93%"
"PTNT3","Pettenati","400","11,89","-0,59%"
"AVLL3","Alphaville","400","4,86","-0,21%"
"UNIP5","Unipar","200","84,97","+1,40%"
"RPAD6","Alfa Holdings","200","7,65","-2,42%"
"BNBR3","Banco do Nordeste","100","91,96","-1,96%"
"ENMT3","Energisa MT","100","61,96","+0,00%"
"BGIP3","Banese","100","25,86","-1,45%"
"BSLI4","Banco de Brasília","100","12,10","+4,94%"
"RPAD5","Alfa Holdings","100","7,99","+1,78%"
"DOHL3","Döhler","100","7,00","-6,67%"
"MWET4","Wetzel","4.700","8,57","+2,88%"
"BRKM6","Braskem","1.500","17,00","-8,11%"
"PLAS3","Plascar","1.400","7,78","-2,75%"
"MNDL3","Mundial","300","56,28","+0,32%"
"BSLI3","Banco de Brasília","300","14,00","-1,41%"
"GSHP3","General Shopping & Outlets","200","13,20","-4,35%"
"HBTS5","Habitasul","100","56,50","+0,00%"
"BRGE12","Consórcio Alfa","100","10,77","+2,96%"
"BRGE5","Consórcio Alfa","100","10,55","-3,92%"
"JOPA3","Josapar","6.400","21,00","+0,00%"
"CRIV3","Alfa Financeira","800","6,00","-0,17%"
"LIPR3","Eletropar","300","70,21","+29,99%"
"PEAB3","Participações Aliança da Bahia","300","33,90","+0,00%"
"EQPA5","Equatorial Energia Pará","300","7,10","-15,58%"
"SOND5","Sondotécnica","100","49,98","-0,02%"
"RPAD3","Alfa Holdings","100","7,55","-0,66%"
"FESA3","Ferbasa","400","57,01","-2,21%"
"CEED3","CEEE D","200","36,97","+36,93%"
"BRGE11","Consórcio Alfa","200","10,46","+0,00%"
"ESTR4","Estrela","200","6,30","+8,62%"
"CEED4","CEEE D","100","30,01","+0,03%"
"PATI3","Panatlântica","100","25,15","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","100","16,40","-0,55%"
"MERC4","Mercantil do Brasil Financeira","2.600","7,16","-1,24%"
"CTKA4","Karsten","400","15,47","+1,78%"
"BRSR5","Banrisul","100","18,90","+1,39%"
"EQPA6","Equatorial Energia Pará","100","10,05","+0,00%"
"BAUH4","Excelsior","100","70,99","+0,00%"
"TKNO4","Tekno","100","60,00","+0,00%"
"FRIO3","Metalfrio","100","45,05","+0,11%"
"AHEB3","São Paulo Turismo","100","18,95","+0,00%"
"AHEB6","São Paulo Turismo","100","17,02","+0,06%"
"BDLL4","Bardella","100","9,70","+0,83%"
"CSAB4","Cia. de Seg. Aliança da Bahia","200","48,00","+11,60%"
"PATI4","Panatlântica","200","32,00","-8,57%"
"ENMT4","Energisa MT","100","65,00","+0,00%"
"CGAS3","Comgás","100","120,00","-1,64%"
"MRSA3B","MRS Logística","1.400","25,06","+0,00%"
"MRSA5B","MRS Logística","600","25,06","-6,42%"
"MRSA6B","MRS Logística","500","26,50","+0,42%"
"FIEI3","FIEI3","500","15,20","+4,90%"
"ESTR3","Estrela","200","12,59","+0,08%"
"WLMM3","WLM","100","27,00","+8,00%"
"VIIA3","Via","213.149.200","0,75","+2,74%"
"CRPG3","Tronox Pigmentos","200","44,50","-0,27%"
"MOAR3","Monteiro Aranha","100","388,00","+2,11%"
"DTCY3","Dtcom","200","5,00","+1,83%"
"BMIN3","Banco Mercantil de Investimentos","700","22,40","-6,20%"
"NORD3","Nordon","300","5,46","+0,18%"
"CSAB3","Cia. de Seg. Aliança da Bahia","200","33,50","-4,31%"
"LUXM4","Trevisa","400","19,00","+0,42%"
"BRGE7","Consórcio Alfa","700","9,27","-0,22%"
"MWET3","Wetzel","100","13,30","+0,08%"
"USIM6","Usiminas","200","16,31","-0,24%"
"AHEB5","São Paulo Turismo","100","16,59","+0,48%"
"ENBR3","EDP Brasil","1.697.900","24,08","+0,12%"
"MTSA3","METISA","100","77,00","+2,67%"
"ELET5","Eletrobras","100","86,01","+0,01%"
"BOAS3","Boa Vista","23.239.000","7,95","-0,38%"
"MAPT4","Cemepe","300","11,00","+61,29%"
"CSRN6","COSERN","200","27,60","-4,83%"
"PEAB4","Participações Aliança da Bahia","2.600","74,00","+2,78%"
"CSRN5","COSERN","400","29,50","+13,55%"
"COCE3","Coelce","200","50,01","+2,86%"
"JOPA4","Josapar","100","33,80","-1,20%"
"GPAR3","CELGPAR","400","44,51","+6,18%"
"MODL3","Banco Modal","16.688.000","3,08","+0,33%"
"CTKA3","Karsten","300","18,00","+4,71%"
"MERC3","Mercantil do Brasil Financeira","51.500","15,28","+1,13%"
