Company Name;DÍVIDA LÍQUIDA - LUCRO LÍQUIDO;DIVIDENDOS;LUCRO OPERACIONAL>0;P/VP abaixo de 5;Líquida/EBITDA é menor que 2;+30 anos de mercado? (Fundação);P/L < 30;Crescimento de receitas lucro >5perc ultimos 5 anos;Soma_total;Formula Graham
HABITASUL;0;1;1;1;1;1;1;;6;136.06
JOSAPAR JOAQUIM OLIVEIRA S/A PARTICIPAÇÕES;0;1;1;1;0;1;1;;5;40.45
FINANCEIRA ALFA S.A.;1;0;0;1;1;1;0;;4;6.44
CIA PARTICIPAÇÕES ALIANÇA DA BAHIA;1;1;1;1;1;0;1;;6;46.47
CEEE-D;0;0;1;1;0;0;1;;3;0.0
PANATLANTICA;1;1;1;1;1;1;1;;7;28.47
METALFRIO SOLUTIONS;0;0;1;1;1;0;1;;4;0.0
SÃO PAULO TURISMO S.A.;1;0;1;0;1;1;1;;5;14.05
MRS LOGÍSTICA S.A.;0;0;1;1;1;1;1;;5;34.95
ESTRELA;0;0;1;1;0;1;1;;4;0.0
WLM INDÚSTRIA E COMÉRCIO;1;1;1;1;1;1;1;;7;35.43
GRUPO CASAS BAHIA S.A;0;0;1;1;0;1;1;;4;0.0
MONTEIRO ARANHA S.A.;1;1;1;1;1;1;1;;7;439.48
DTCOM - DIRECT TO COMPANY S.A.;1;0;1;1;1;0;1;;5;0.0
BANCO MERCANTIL DE INVESTIMENTOS;1;0;0;1;1;1;1;;5;34.93
NORDON INDUSTRIAS METALÚRGICAS S.A.;0;0;0;1;0;1;1;;3;0.0
CIA SEGUROS ALIANÇA DA BAHIA;1;1;0;1;1;1;1;;6;35.57
WETZEL;0;0;1;1;0;1;1;;4;0.0
EDP - ENERGIAS DO BRASIL S.A.;0;1;1;1;0;0;0;;3;16.57
METISA;1;1;1;1;1;1;1;;7;107.2
BOA VISTA;1;1;1;1;1;1;1;;7;7.26
CIA CELG DE PARTICIPAÇÕES;1;0;1;1;1;0;0;;4;7.41
MODAL MAIS;1;1;0;1;0;1;1;;5;0.0
KARSTEN;0;0;1;1;0;1;1;;4;0.0
MERCANTIL DO BRASIL FINANCEIRA;1;0;0;1;0;1;1;;4;0.0
CIA DISTRIBUIDORA DE GÁS DO RJ;0;1;1;0;1;1;0;;4;11.61
CEMEPE INVESTIMENTOS S.A.;0;0;0;1;1;1;1;;4;0.0
CR2 EMPREENDIMENTOS;0;0;0;1;1;0;1;;3;0.0
IGB ELETRÔNICA S/A;1;0;1;1;1;1;1;;6;0.0
INSTITUTO HERMES PARDINI S.A;0;1;1;0;1;1;0;;4;6.88
CASAN;1;0;1;1;1;1;0;;5;2.04
EDITORA MELHORAMENTOS;0;1;1;1;0;1;1;;5;86.97
BR MALLS;1;0;1;1;1;0;1;;5;15.24
DOMMO ENERGIA;1;0;1;1;1;0;1;;5;0.0
GETNET ADQUIRENCIA E SERVIÇOS S.A.;0;0;1;1;1;0;1;;4;3.74
SUL AMÉRICA;1;1;0;1;0;1;0;;4;4.54
CELPE;0;1;1;1;0;1;0;;4;21.99
TECNOSOLO ENGENHARIA;0;0;0;1;1;1;1;;4;0.0
BLUE TECH SOLUTIONS E.Q.I. S.A.;0;0;0;1;1;1;1;;4;0.0
INVESTIMENTOS BEMGE S.A.;1;1;0;1;1;1;1;;6;73.95
FINANSINOS S.A. - CREDITO FINANC. E INVEST.;1;0;1;1;1;1;1;;6;42.5
TEKA;0;0;0;1;1;1;1;;4;0.0
HERCULES S.A. FABRICA DE TALHERES;0;0;1;1;0;1;1;;4;0.0
LOCAMERICA;0;0;1;1;0;0;0;;2;14.13
BANCO INTER;0;0;0;1;1;0;0;;2;0.0
CEEE-GT;1;0;1;1;1;1;1;;6;533.07
BRASIL BROKERS;0;0;0;0;1;0;1;;2;0.0
CESP;1;0;0;1;1;1;1;;5;73.74
MOSAICO - ZOOM;1;0;1;1;1;0;0;;4;5.56
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A.;1;0;1;1;1;0;1;;5;10.68
ENCORPAR;0;0;0;1;1;0;1;;3;0.0
NOTRE DAME INTERMÉDICA;0;0;1;1;1;0;1;;4;0.0
LOJAS AMERICANAS;1;0;1;1;1;1;0;;5;7.71
IGUATEMI;1;0;1;1;1;1;1;;6;26.33
CIA HERING;1;0;1;1;1;1;0;;5;9.35
TERRA SANTA AGRO;0;0;1;1;0;0;1;;3;0.0
B2W DIGITAL;1;0;1;1;1;0;1;;5;0.0
LINX;1;0;1;1;0;0;1;;4;0.0
SMILES;1;0;1;1;1;0;1;;5;16.0
MMX MINERAÇÃO E METÁLICOS S.A.;0;0;1;1;1;0;1;;4;0.0
BIOSEV;1;0;1;1;1;1;1;;6;0.0
BANCO BANPARA;1;1;0;1;1;1;1;;6;234.04
FERROVIA CENTRO-ATLÂNTICA S.A.;0;0;0;1;1;0;1;;3;0.0
METALGRÁFICA IGUAÇU S.A.;1;0;0;1;0;1;1;;4;0.0
TREVISA;1;0;1;1;1;1;1;;6;9.45
TEKNO S.A.;1;0;1;1;1;1;1;;6;143.34
MANGELS INDUSTRIAL;0;0;1;0;0;1;1;;3;69.27
